ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
45.117.205.66,412,0.0,5066.881067961165,143,-1,True,True
45.121.2.13,599,0.0,5416.572621035059,133,-1,True,True
45.121.2.86,599,0.0,5968.726210350585,124,-1,True,True
45.61.161.58,9,1.0,341.1111111111111,9,-1,True,True
46.232.112.145,1,1.0,342.0,1,-1,True,True
47.11.236.28,94,0.0,18603.457446808512,87,-1,True,True
47.128.110.181,1,1.0,341.0,1,-1,True,True
47.128.38.159,1,1.0,341.0,1,-1,True,True
47.128.96.34,1,1.0,341.0,1,-1,True,True
47.15.14.218,18,0.2222222222222222,2442.222222222222,9,-1,True,True
47.15.222.79,86,0.0,19601.54651162791,81,-1,True,False
47.15.241.21,5,0.0,90564.4,5,-1,True,False
47.15.35.141,109,0.0,16482.495412844037,101,-1,True,True
47.15.42.106,12,0.16666666666666666,5341.833333333333,9,-1,True,True
47.15.8.179,878,0.0,8328.066059225512,175,-1,True,True
47.9.108.91,3,0.3333333333333333,3050.0,3,-1,True,True
47.9.121.117,11,0.18181818181818182,2371.181818181818,7,-1,True,True
49.204.114.231,523,0.0,5603.4110898661565,117,-1,True,True
49.207.223.122,419,0.0,6346.689737470167,149,-1,True,True
49.35.192.20,21,0.09523809523809523,2373.3809523809523,11,-1,True,True
49.36.103.12,388,0.0,6206.881443298969,99,-1,True,True
49.36.221.74,22,0.13636363636363635,7013.909090909091,8,-1,True,True
49.36.69.202,579,0.0,7657.682210708117,136,-1,True,True
49.36.91.209,290,0.0,5807.831034482759,84,-1,True,True
49.37.116.113,126,0.0,16548.039682539682,83,-1,True,False
49.37.235.176,329,0.0,5217.981762917933,81,-1,True,True
49.37.27.189,97,0.0,24452.896907216495,65,-1,True,False
49.42.33.99,366,0.0,4833.715846994535,82,-1,True,True
49.42.34.152,3,0.3333333333333333,2056.0,3,-1,True,True
49.42.34.23,7,0.0,150360.14285714287,5,-1,True,False
49.43.116.104,3,0.3333333333333333,2140.3333333333335,3,-1,True,True
49.43.161.141,400,0.0,16232.0375,141,-1,True,True
49.43.235.22,542,0.0,6130.4169741697415,130,-1,True,True
49.43.248.72,130,0.015384615384615385,2916.753846153846,67,-1,True,True
49.43.3.174,208,0.0,4584.6875,89,-1,True,True
49.47.128.147,289,0.0,5365.820069204152,71,-1,True,True
49.47.129.230,288,0.0,5578.979166666667,109,-1,True,True
49.47.129.96,775,0.0,6313.44129032258,177,-1,True,True
49.47.130.161,1181,0.0,6547.171888230313,203,-1,True,True
49.47.130.190,557,0.0,7296.016157989228,110,-1,True,True
49.47.131.109,446,0.0,4228.336322869955,76,-1,True,True
49.47.132.127,909,0.0,7107.887788778878,201,-1,True,True
49.47.132.145,507,0.0,5799.666666666667,80,-1,True,True
49.47.133.88,395,0.0,7349.673417721519,82,-1,True,True
49.47.241.8,103,0.0,16165.718446601943,74,-1,True,False
51.8.102.59,1,1.0,341.0,1,-1,True,True
52.167.144.66,1,1.0,341.0,1,-1,True,True
54.226.99.18,9,1.0,341.0,1,-1,True,True
54.36.148.75,1,1.0,341.0,1,-1,True,True
59.94.151.27,333,0.0,4301.039039039039,111,-1,True,True
64.124.8.133,2,0.5,259.0,2,-1,True,True
64.233.173.204,5,1.0,341.0,1,-1,True,True
64.233.173.205,8,1.0,341.0,1,-1,True,True
64.233.173.206,6,1.0,341.0,1,-1,True,True
66.249.66.5,23,0.08695652173913043,2918.391304347826,20,-1,True,True
66.249.92.3,1,1.0,341.0,1,-1,True,True
82.145.215.206,4,0.5,349.0,2,-1,True,True
