ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
47.11.236.28,94,0.0,18603.457446808512,87,-1,True,True
47.128.110.181,1,1.0,341.0,1,-1,True,True
47.128.38.159,1,1.0,341.0,1,-1,True,True
47.128.96.34,1,1.0,341.0,1,-1,True,True
47.15.14.218,18,0.2222222222222222,2442.222222222222,9,-1,True,True
47.15.15.187,264,0.0,7416.170454545455,51,1,False,True
47.15.238.123,38,0.05263157894736842,2374.3684210526317,16,1,False,True
47.15.254.233,12,0.08333333333333333,2591.3333333333335,7,1,False,True
47.15.35.141,109,0.0,16482.495412844037,101,-1,True,True
47.15.42.106,12,0.16666666666666666,5341.833333333333,9,-1,True,True
47.15.43.159,39,0.05128205128205128,5052.461538461538,27,1,False,True
47.15.8.179,878,0.0,8328.066059225512,175,-1,True,True
47.9.108.91,3,0.3333333333333333,3050.0,3,-1,True,True
47.9.121.117,11,0.18181818181818182,2371.181818181818,7,-1,True,True
47.9.71.101,255,0.0,11697.835294117647,63,1,False,True
47.9.83.158,239,0.0,9473.861924686193,62,1,False,True
49.156.84.226,67,0.029850746268656716,6103.671641791045,31,1,False,True
49.204.114.231,523,0.0,5603.4110898661565,117,-1,True,True
49.204.239.180,286,0.0,9954.965034965035,54,1,False,True
49.207.223.122,419,0.0,6346.689737470167,149,-1,True,True
49.35.192.20,21,0.09523809523809523,2373.3809523809523,11,-1,True,True
49.36.103.12,388,0.0,6206.881443298969,99,-1,True,True
49.36.221.74,22,0.13636363636363635,7013.909090909091,8,-1,True,True
49.36.69.202,579,0.0,7657.682210708117,136,-1,True,True
49.36.91.209,290,0.0,5807.831034482759,84,-1,True,True
49.37.235.176,329,0.0,5217.981762917933,81,-1,True,True
49.42.33.99,366,0.0,4833.715846994535,82,-1,True,True
49.42.34.152,3,0.3333333333333333,2056.0,3,-1,True,True
49.43.112.84,245,0.0,8112.681632653062,66,1,False,True
49.43.116.104,3,0.3333333333333333,2140.3333333333335,3,-1,True,True
49.43.161.141,400,0.0,16232.0375,141,-1,True,True
49.43.235.22,542,0.0,6130.4169741697415,130,-1,True,True
49.43.248.72,130,0.015384615384615385,2916.753846153846,67,-1,True,True
49.43.3.174,208,0.0,4584.6875,89,-1,True,True
49.43.4.248,267,0.0,7221.973782771535,66,1,False,True
49.47.128.147,289,0.0,5365.820069204152,71,-1,True,True
49.47.129.230,288,0.0,5578.979166666667,109,-1,True,True
49.47.129.253,228,0.0,5864.850877192983,79,1,False,True
49.47.129.96,775,0.0,6313.44129032258,177,-1,True,True
49.47.130.161,1181,0.0,6547.171888230313,203,-1,True,True
49.47.130.190,557,0.0,7296.016157989228,110,-1,True,True
49.47.131.109,446,0.0,4228.336322869955,76,-1,True,True
49.47.132.127,909,0.0,7107.887788778878,201,-1,True,True
49.47.132.145,507,0.0,5799.666666666667,80,-1,True,True
49.47.132.31,254,0.0,6292.476377952756,65,1,False,True
49.47.133.88,395,0.0,7349.673417721519,82,-1,True,True
49.47.140.214,290,0.0,5989.934482758621,58,1,False,True
51.8.102.59,1,1.0,341.0,1,-1,True,True
52.167.144.66,1,1.0,341.0,1,-1,True,True
54.226.99.18,9,1.0,341.0,1,-1,True,True
